gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,0,51,1,2,0,0,0,0,2,2,2,2,1,0,75.2,3901.25,0
0,0,0,0,11,1,0,0,2,0,0,2,0,0,1,1,3,54.6,617.85,0
0,0,0,0,16,1,0,2,1,1,1,1,1,1,1,0,0,20.1,318.6,0
0,0,0,0,34,1,2,0,0,0,0,2,2,0,0,0,3,65.0,2157.5,0
0,1,1,0,43,1,2,1,0,0,2,2,2,2,1,1,2,107.55,4533.9,1
1,0,1,0,25,0,1,0,0,0,2,0,2,0,1,1,1,38.1,970.4,0
1,0,0,1,43,0,1,0,2,2,2,0,0,0,0,1,2,40.45,1912.85,0
0,0,0,0,18,0,1,0,0,0,2,2,0,0,0,1,2,35.2,607.3,0
1,0,0,0,35,1,2,2,1,1,1,1,1,1,0,1,2,25.6,901.25,0
0,0,1,0,41,1,0,1,0,2,2,2,0,0,1,1,0,86.2,3339.05,0
1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.85,70.85,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.1,70.1,0
0,0,0,1,15,1,0,0,2,2,2,2,0,0,1,0,1,65.6,1010.0,0
1,0,0,0,29,0,1,0,0,2,0,2,0,0,0,0,2,34.3,1004.75,0
1,0,0,0,25,1,0,2,1,1,1,1,1,1,0,1,3,20.15,536.35,0
0,0,0,0,7,1,2,1,2,0,0,0,0,0,0,1,3,79.65,604.7,1
0,1,0,0,5,1,0,1,0,2,0,0,2,0,0,1,2,84.7,392.5,0
0,0,1,1,48,0,1,0,2,0,2,0,0,2,1,0,1,45.0,2196.3,0
1,1,1,0,72,1,2,1,2,2,2,0,2,2,2,1,0,109.55,7920.7,0
1,1,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,94.0,94.0,1
1,0,1,0,33,1,2,1,0,2,2,0,0,2,0,1,2,93.35,3092.0,0
0,1,0,0,14,0,1,0,0,0,0,0,2,2,0,1,2,46.35,672.7,0
1,0,1,1,8,1,0,2,1,1,1,1,1,1,0,0,1,19.65,169.75,0
1,0,0,0,17,1,2,1,0,0,2,2,0,0,1,0,2,86.75,1410.25,0
0,1,1,0,65,1,2,1,2,2,2,0,2,2,0,1,1,109.4,7227.45,0
0,1,1,0,37,1,0,1,0,0,2,2,2,0,0,0,2,90.0,3371.75,0
0,1,1,0,24,1,2,1,0,0,0,0,2,2,0,1,2,93.55,2264.05,1
